sample_size,target,model,train_time_sec,r2,mae,rmse
200,stress,Random Forest,0.572,0.7160537733571376,101.65536925000008,185.66260507764304
200,stress,XGBoost,0.335,0.7367471060990156,89.59253778362275,178.76931086810407
200,stress,MLP Neural Network,3.475,0.9165126966965778,36.10013436123131,100.6738333737269
200,stress,SVR,0.028,0.8868445470046842,47.11914459612306,117.20445851701372
200,mass,Random Forest,0.579,0.8801192066791553,0.047471637500000025,0.06140590403439443
200,mass,XGBoost,0.296,0.9089432659565702,0.04200118659242987,0.05351695069046361
200,mass,MLP Neural Network,0.605,0.9929970908528942,0.01088670900280343,0.01484138979040679
200,mass,SVR,0.011,0.9770600415926236,0.019636194308746975,0.026861585206301174
400,stress,Random Forest,0.594,0.8326223754566368,71.10364987500003,134.54443649849543
400,stress,XGBoost,0.416,0.8641984491996203,62.62817581181527,121.19073205417507
400,stress,MLP Neural Network,0.697,0.9445708775455666,28.75207960974917,77.4258613662066
400,stress,SVR,0.149,0.9534811725746396,35.071557509341325,70.93023908106845
400,mass,Random Forest,0.609,0.9710781694558956,0.025518631250000024,0.03395389159263449
400,mass,XGBoost,0.39,0.9830645418329542,0.019151726170554755,0.025982153506222457
400,mass,MLP Neural Network,0.682,0.9970635233352599,0.0074737406123285026,0.010819070383386148
400,mass,SVR,0.06,0.9940307860522997,0.010396813833155088,0.015425357626713428
600,stress,Random Forest,0.609,0.8132021767144989,60.864068124999946,138.87461535784902
600,stress,XGBoost,0.432,0.8062175922010659,57.26097773698172,141.44712917699718
600,stress,MLP Neural Network,0.769,0.9620853916513985,18.640659713225,62.5662679919011
600,stress,SVR,0.392,0.9424978932683372,24.204211970984645,77.05109973644052
600,mass,Random Forest,0.684,0.9780335301976014,0.017902933333333305,0.025065000949448055
600,mass,XGBoost,0.459,0.9851155622385286,0.014668431264360746,0.020632592877139654
600,mass,MLP Neural Network,0.783,0.9975329736092726,0.007112844748002755,0.00839990722097334
600,mass,SVR,0.165,0.9959103511556568,0.006636506435768334,0.010815101535882422
1000,stress,Random Forest,0.694,0.921635541884297,32.48003612499998,52.50805144716891
1000,stress,XGBoost,0.458,0.9347556645255796,28.238507359172107,47.91127636960948
1000,stress,MLP Neural Network,0.966,0.9920243191524899,10.940304967459847,16.751365636958763
1000,stress,SVR,1.568,0.9901502199968927,12.778264758505232,18.615709792727827
1000,mass,Random Forest,0.683,0.981136020731636,0.018750794999999997,0.026570468629241336
1000,mass,XGBoost,0.438,0.9901182330622835,0.014175485119968655,0.019230911195973272
1000,mass,MLP Neural Network,0.935,0.9982440392961053,0.00597019743668511,0.008106622604698837
1000,mass,SVR,0.388,0.9986151779209156,0.004110253906829198,0.007199122251455601
2000,stress,Random Forest,1.08,0.9355683946436172,37.37473684999997,81.39379568800811
2000,stress,XGBoost,0.481,0.9642785501649158,27.83688210999489,60.60470816367571
2000,stress,MLP Neural Network,1.438,0.9912254244697598,13.164354362785684,30.03688445407288
2000,stress,SVR,8.618,0.9964042004932843,8.577862963364147,19.228241134523838
2000,mass,Random Forest,1.01,0.9888989810569345,0.011794467499999992,0.017912764271986327
2000,mass,XGBoost,0.467,0.992924662011913,0.009743588427402078,0.014300617289469698
2000,mass,MLP Neural Network,1.452,0.9984764654498365,0.004997181888558911,0.00663601474847772
2000,mass,SVR,1.256,0.9995517167941308,0.0020040768764134887,0.0035996263592709002
3000,stress,Random Forest,1.448,0.9581735552129556,30.54083793333334,62.8935950105406
3000,stress,XGBoost,0.504,0.9766652437692614,23.49651886701902,46.976707880480376
3000,stress,MLP Neural Network,1.773,0.9975011040592848,9.18800175476681,15.372872663168723
3000,stress,SVR,21.684,0.9977696992655402,6.031053569003155,14.523211358469089
3000,mass,Random Forest,1.398,0.995259301104927,0.008473186666666672,0.011870262582745728
3000,mass,XGBoost,0.496,0.99715734004038,0.0067221890402684595,0.009191821801148373
3000,mass,MLP Neural Network,1.865,0.9988228631061234,0.004553239452149104,0.005914971084297545
3000,mass,SVR,2.069,0.9998303104680547,0.0014558238075635032,0.002245777187484214
5000,stress,Random Forest,2.3,0.9620429440354,27.766534680000003,60.820769286750895
5000,stress,XGBoost,0.536,0.9816020266548116,17.953807974063874,42.34387915412508
5000,stress,MLP Neural Network,2.698,0.9965364152621407,9.049605639034034,18.37251275349159
5000,stress,SVR,61.178,0.9983076543053935,4.292479972650933,12.842518184042733
5000,mass,Random Forest,2.14,0.9958424953786726,0.0076914649999999885,0.01085821996312009
5000,mass,XGBoost,0.543,0.9977924124879903,0.00586441158014536,0.007912272376633799
5000,mass,MLP Neural Network,2.602,0.9982566906940441,0.005556597527889961,0.0070312006102164395
5000,mass,SVR,3.899,0.9998934961499681,0.0011855330861483648,0.0017379005419662207
